title,text,subject,date,label,target
Global Summit Reaches Bilateral Accord - Official News,BERLIN — European aerospace consortium completed successful high-altitude test flights for hydrogen-powered zero-emission commercial flight prototypes. Reporting according to official press release #236. Verified by independent Reuters standards and institutional statements.,politics,2026-01-01,0,REAL
Central Bank Adjusts Key Financial Rates - Official News,TORONTO — Canadian research council announced major grant funding for renewable energy infrastructure and smart grid modernization projects. Reporting according to official press release #299. Verified by independent Reuters standards and institutional statements.,politics,2026-01-01,0,REAL
Official Statement Released by Ministry - Official News,BRUSSELS — The European Union passed comprehensive regulations standardizing consumer device charging ports across member states. Reporting according to official press release #128. Verified by independent Reuters standards and institutional statements.,politics,2026-01-01,0,REAL
Global Summit Reaches Bilateral Accord - Official News,PARIS — Representatives from 40 nations assembled for the International Climate Summit to outline binding commitments for reducing industrial emissions over the next decade. Reporting according to official press release #124. Verified by independent Reuters standards and institutional statements.,politics,2026-01-01,0,REAL
Central Bank Adjusts Key Financial Rates - Official News,LONDON — Researchers at Oxford University published findings in Nature Medicine analyzing the clinical efficacy of novel immunotherapies across five major hospital trials. Reporting according to official press release #3. Verified by independent Reuters standards and institutional statements.,politics,2026-01-01,0,REAL
Tech Firm Announces Quarterly Revenue Growth - Official News,NEW YORK — Wall Street indexes closed moderately higher as earnings reports from major manufacturing and technology firms exceeded consensus analyst estimates. Reporting according to official press release #165. Verified by independent Reuters standards and institutional statements.,politics,2026-01-01,0,REAL
DOCTORS HATE THIS SIMPLE TRICK: BREAKING: Secret Alien Technology Discovered in Underground Bunker! Government Hiding The Truth From Citizens! Scientists Shocked!,BREAKING: Secret Alien Technology Discovered in Underground Bunker! Government Hiding The Truth From Citizens! Scientists Shocked! Article ID #130 claiming sensational facts without empirical verification or peer review. Click here to read more shocking evidence!,News,2026-01-01,1,FAKE
UNBELIEVABLE DISCOVERY CHANGES EVERYTHING: LEAKED DOCUMENT: Billionaires Plan To Teleport Moon To Another Galaxy Next Month Using Quantum Magnetism!,LEAKED DOCUMENT: Billionaires Plan To Teleport Moon To Another Galaxy Next Month Using Quantum Magnetism! Article ID #212 claiming sensational facts without empirical verification or peer review. Click here to read more shocking evidence!,News,2026-01-01,1,FAKE
Official Statement Released by Ministry - Official News,BERLIN — European aerospace consortium completed successful high-altitude test flights for hydrogen-powered zero-emission commercial flight prototypes. Reporting according to official press release #176. Verified by independent Reuters standards and institutional statements.,politics,2026-01-01,0,REAL
Environmental Protection Board Publishes Report - Official News,PARIS — Representatives from 40 nations assembled for the International Climate Summit to outline binding commitments for reducing industrial emissions over the next decade. Reporting according to official press release #14. Verified by independent Reuters standards and institutional statements.,politics,2026-01-01,0,REAL
UNBELIEVABLE DISCOVERY CHANGES EVERYTHING: LEAKED DOCUMENT: Billionaires Plan To Teleport Moon To Another Galaxy Next Month Using Quantum Magnetism!,LEAKED DOCUMENT: Billionaires Plan To Teleport Moon To Another Galaxy Next Month Using Quantum Magnetism! Article ID #92 claiming sensational facts without empirical verification or peer review. Click here to read more shocking evidence!,News,2026-01-01,1,FAKE
"LEAKED REPORT PROVES CONSPIRACY: EXCLUSIVE: Famous Celebrity Replaced By Hologram During Live Interview, Fans Notice Strange Glitch In Eyes!","EXCLUSIVE: Famous Celebrity Replaced By Hologram During Live Interview, Fans Notice Strange Glitch In Eyes! Article ID #265 claiming sensational facts without empirical verification or peer review. Click here to read more shocking evidence!",News,2026-01-01,1,FAKE
Tech Firm Announces Quarterly Revenue Growth - Official News,NEW YORK — Wall Street indexes closed moderately higher as earnings reports from major manufacturing and technology firms exceeded consensus analyst estimates. Reporting according to official press release #245. Verified by independent Reuters standards and institutional statements.,politics,2026-01-01,0,REAL
Global Summit Reaches Bilateral Accord - Official News,"WASHINGTON — The Federal Reserve announced a quarter-point interest rate adjustment following its policy meeting, citing inflation trends and employment data. Reporting according to official press release #180. Verified by independent Reuters standards and institutional statements.",politics,2026-01-01,0,REAL
"SECRET GOVERNMENT PROJECT EXPOSED: EXCLUSIVE: Famous Celebrity Replaced By Hologram During Live Interview, Fans Notice Strange Glitch In Eyes!","EXCLUSIVE: Famous Celebrity Replaced By Hologram During Live Interview, Fans Notice Strange Glitch In Eyes! Article ID #235 claiming sensational facts without empirical verification or peer review. Click here to read more shocking evidence!",News,2026-01-01,1,FAKE
UNBELIEVABLE DISCOVERY CHANGES EVERYTHING: WARNING: Microwave Ovens Are Sending Secret Signals To Deep Space Satellites Without User Knowledge!,WARNING: Microwave Ovens Are Sending Secret Signals To Deep Space Satellites Without User Knowledge! Article ID #188 claiming sensational facts without empirical verification or peer review. Click here to read more shocking evidence!,News,2026-01-01,1,FAKE
